2025-12-19 17:26:35 | INFO     | app | 🚀 Starting Messaging Platform...
2025-12-19 17:48:52 | INFO     | app | ✅ Cleanup complete
2025-12-19 17:48:54 | INFO     | app | 🚀 Starting Messaging Platform...
2025-12-19 17:48:54 | INFO     | app | ✅ Redis connected
2025-12-19 17:48:54 | INFO     | sqlalchemy.engine.Engine | SELECT DATABASE()
2025-12-19 17:48:54 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:48:54 | INFO     | sqlalchemy.engine.Engine | SELECT @@sql_mode
2025-12-19 17:48:54 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:48:54 | INFO     | sqlalchemy.engine.Engine | SELECT @@lower_case_table_names
2025-12-19 17:48:54 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:48:54 | INFO     | sqlalchemy.engine.Engine | BEGIN (implicit)
2025-12-19 17:48:54 | INFO     | sqlalchemy.engine.Engine | DESCRIBE `chatapp`.`users`
2025-12-19 17:48:54 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:48:54 | INFO     | sqlalchemy.engine.Engine | DESCRIBE `chatapp`.`conversations`
2025-12-19 17:48:54 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:48:54 | INFO     | sqlalchemy.engine.Engine | DESCRIBE `chatapp`.`conversation_members`
2025-12-19 17:48:54 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:48:54 | INFO     | sqlalchemy.engine.Engine | DESCRIBE `chatapp`.`messages`
2025-12-19 17:48:54 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:48:54 | INFO     | sqlalchemy.engine.Engine | DESCRIBE `chatapp`.`contacts`
2025-12-19 17:48:54 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:48:54 | INFO     | sqlalchemy.engine.Engine | COMMIT
2025-12-19 17:48:55 | INFO     | app | ✅ Database initialized
2025-12-19 17:48:55 | INFO     | app | [Socket] Event handlers registered
2025-12-19 17:48:55 | INFO     | app | ✅ Socket.IO events registered
2025-12-19 17:48:55 | INFO     | app | 🎉 Server is ready!
2025-12-19 17:48:55 | INFO     | app |    API Docs: http://localhost:8000/docs
2025-12-19 17:48:55 | INFO     | app |    Socket.IO: ws://localhost:8000/socket.io/
2025-12-19 17:49:03 | INFO     | app | 👋 Shutting down...
2025-12-19 17:49:03 | INFO     | app | ✅ Cleanup complete
2025-12-19 17:49:06 | INFO     | app | 🚀 Starting Messaging Platform...
2025-12-19 17:49:06 | INFO     | app | ✅ Redis connected
2025-12-19 17:49:06 | INFO     | sqlalchemy.engine.Engine | SELECT DATABASE()
2025-12-19 17:49:06 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:49:06 | INFO     | sqlalchemy.engine.Engine | SELECT @@sql_mode
2025-12-19 17:49:06 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:49:06 | INFO     | sqlalchemy.engine.Engine | SELECT @@lower_case_table_names
2025-12-19 17:49:06 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:49:06 | INFO     | sqlalchemy.engine.Engine | BEGIN (implicit)
2025-12-19 17:49:06 | INFO     | sqlalchemy.engine.Engine | DESCRIBE `chatapp`.`users`
2025-12-19 17:49:06 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:49:06 | INFO     | sqlalchemy.engine.Engine | DESCRIBE `chatapp`.`conversations`
2025-12-19 17:49:06 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:49:06 | INFO     | sqlalchemy.engine.Engine | DESCRIBE `chatapp`.`conversation_members`
2025-12-19 17:49:06 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:49:06 | INFO     | sqlalchemy.engine.Engine | DESCRIBE `chatapp`.`messages`
2025-12-19 17:49:06 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:49:06 | INFO     | sqlalchemy.engine.Engine | DESCRIBE `chatapp`.`contacts`
2025-12-19 17:49:06 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:49:06 | INFO     | sqlalchemy.engine.Engine | COMMIT
2025-12-19 17:49:06 | INFO     | app | ✅ Database initialized
2025-12-19 17:49:06 | INFO     | app | [Socket] Event handlers registered
2025-12-19 17:49:06 | INFO     | app | ✅ Socket.IO events registered
2025-12-19 17:49:06 | INFO     | app | 🎉 Server is ready!
2025-12-19 17:49:06 | INFO     | app |    API Docs: http://localhost:8000/docs
2025-12-19 17:49:06 | INFO     | app |    Socket.IO: ws://localhost:8000/socket.io/
2025-12-19 17:49:44 | INFO     | app | ➡️  OPTIONS /api/v1/auth/register
2025-12-19 17:49:44 | WARNING  | app | ⬅️  OPTIONS /api/v1/auth/register → 400
2025-12-19 17:51:17 | INFO     | app | 👋 Shutting down...
2025-12-19 17:51:17 | INFO     | app | ✅ Cleanup complete
2025-12-19 17:51:19 | INFO     | app | 🚀 Starting Messaging Platform...
2025-12-19 17:51:19 | INFO     | app | ✅ Redis connected
2025-12-19 17:51:19 | INFO     | sqlalchemy.engine.Engine | SELECT DATABASE()
2025-12-19 17:51:19 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:51:19 | INFO     | sqlalchemy.engine.Engine | SELECT @@sql_mode
2025-12-19 17:51:19 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:51:19 | INFO     | sqlalchemy.engine.Engine | SELECT @@lower_case_table_names
2025-12-19 17:51:19 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:51:19 | INFO     | sqlalchemy.engine.Engine | BEGIN (implicit)
2025-12-19 17:51:19 | INFO     | sqlalchemy.engine.Engine | DESCRIBE `chatapp`.`users`
2025-12-19 17:51:19 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:51:19 | INFO     | sqlalchemy.engine.Engine | DESCRIBE `chatapp`.`conversations`
2025-12-19 17:51:19 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:51:19 | INFO     | sqlalchemy.engine.Engine | DESCRIBE `chatapp`.`conversation_members`
2025-12-19 17:51:19 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:51:19 | INFO     | sqlalchemy.engine.Engine | DESCRIBE `chatapp`.`messages`
2025-12-19 17:51:19 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:51:19 | INFO     | sqlalchemy.engine.Engine | DESCRIBE `chatapp`.`contacts`
2025-12-19 17:51:19 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:51:19 | INFO     | sqlalchemy.engine.Engine | COMMIT
2025-12-19 17:51:19 | INFO     | app | ✅ Database initialized
2025-12-19 17:51:19 | INFO     | app | [Socket] Event handlers registered
2025-12-19 17:51:19 | INFO     | app | ✅ Socket.IO events registered
2025-12-19 17:51:19 | INFO     | app | 🎉 Server is ready!
2025-12-19 17:51:19 | INFO     | app |    API Docs: http://localhost:8000/docs
2025-12-19 17:51:19 | INFO     | app |    Socket.IO: ws://localhost:8000/socket.io/
2025-12-19 17:51:40 | INFO     | app | 👋 Shutting down...
2025-12-19 17:51:40 | INFO     | app | ✅ Cleanup complete
2025-12-19 17:51:42 | INFO     | app | 🚀 Starting Messaging Platform...
2025-12-19 17:51:42 | INFO     | app | ✅ Redis connected
2025-12-19 17:51:42 | INFO     | sqlalchemy.engine.Engine | SELECT DATABASE()
2025-12-19 17:51:42 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:51:42 | INFO     | sqlalchemy.engine.Engine | SELECT @@sql_mode
2025-12-19 17:51:42 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:51:42 | INFO     | sqlalchemy.engine.Engine | SELECT @@lower_case_table_names
2025-12-19 17:51:42 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:51:42 | INFO     | sqlalchemy.engine.Engine | BEGIN (implicit)
2025-12-19 17:51:42 | INFO     | sqlalchemy.engine.Engine | DESCRIBE `chatapp`.`users`
2025-12-19 17:51:42 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:51:42 | INFO     | sqlalchemy.engine.Engine | DESCRIBE `chatapp`.`conversations`
2025-12-19 17:51:42 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:51:42 | INFO     | sqlalchemy.engine.Engine | DESCRIBE `chatapp`.`conversation_members`
2025-12-19 17:51:42 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:51:42 | INFO     | sqlalchemy.engine.Engine | DESCRIBE `chatapp`.`messages`
2025-12-19 17:51:42 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:51:42 | INFO     | sqlalchemy.engine.Engine | DESCRIBE `chatapp`.`contacts`
2025-12-19 17:51:42 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:51:42 | INFO     | sqlalchemy.engine.Engine | COMMIT
2025-12-19 17:51:42 | INFO     | app | ✅ Database initialized
2025-12-19 17:51:42 | INFO     | app | [Socket] Event handlers registered
2025-12-19 17:51:42 | INFO     | app | ✅ Socket.IO events registered
2025-12-19 17:51:42 | INFO     | app | 🎉 Server is ready!
2025-12-19 17:51:42 | INFO     | app |    API Docs: http://localhost:8000/docs
2025-12-19 17:51:42 | INFO     | app |    Socket.IO: ws://localhost:8000/socket.io/
2025-12-19 17:52:06 | INFO     | sqlalchemy.engine.Engine | BEGIN (implicit)
2025-12-19 17:52:06 | INFO     | sqlalchemy.engine.Engine | SELECT users.id, users.email, users.username, users.password_hash, users.public_key, users.avatar_url, users.is_active, users.created_at, users.last_seen 
FROM users 
WHERE users.email = %s
2025-12-19 17:52:06 | INFO     | sqlalchemy.engine.Engine | [generated in 0.00044s] ('brijesh@oss.com',)
2025-12-19 17:52:06 | INFO     | sqlalchemy.engine.Engine | SELECT users.id, users.email, users.username, users.password_hash, users.public_key, users.avatar_url, users.is_active, users.created_at, users.last_seen 
FROM users 
WHERE users.username = %s
2025-12-19 17:52:06 | INFO     | sqlalchemy.engine.Engine | [generated in 0.00047s] ('brijesh',)
2025-12-19 17:52:06 | WARNING  | passlib.handlers.bcrypt | (trapped) error reading bcrypt version
Traceback (most recent call last):
  File "/home/openspace/miniconda3/envs/venv_every/lib/python3.12/site-packages/passlib/handlers/bcrypt.py", line 620, in _load_backend_mixin
    version = _bcrypt.__about__.__version__
              ^^^^^^^^^^^^^^^^^
AttributeError: module 'bcrypt' has no attribute '__about__'
2025-12-19 17:52:06 | DEBUG    | passlib.handlers.bcrypt | detected 'bcrypt' backend, version '<unknown>'
2025-12-19 17:52:06 | DEBUG    | passlib.handlers.bcrypt | 'bcrypt' backend lacks $2$ support, enabling workaround
2025-12-19 17:52:06 | INFO     | sqlalchemy.engine.Engine | ROLLBACK
2025-12-19 17:52:06 | ERROR    | app | ❌ Unhandled error in /api/v1/auth/register: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])
Traceback (most recent call last):
  File "/home/openspace/miniconda3/envs/venv_every/lib/python3.12/site-packages/starlette/middleware/errors.py", line 164, in __call__
    await self.app(scope, receive, _send)
  File "/home/openspace/miniconda3/envs/venv_every/lib/python3.12/site-packages/starlette/middleware/cors.py", line 91, in __call__
    await self.simple_response(scope, receive, send, request_headers=headers)
  File "/home/openspace/miniconda3/envs/venv_every/lib/python3.12/site-packages/starlette/middleware/cors.py", line 146, in simple_response
    await self.app(scope, receive, send)
  File "/home/openspace/miniconda3/envs/venv_every/lib/python3.12/site-packages/starlette/middleware/exceptions.py", line 62, in __call__
    await wrap_app_handling_exceptions(self.app, conn)(scope, receive, send)
  File "/home/openspace/miniconda3/envs/venv_every/lib/python3.12/site-packages/starlette/_exception_handler.py", line 64, in wrapped_app
    raise exc
  File "/home/openspace/miniconda3/envs/venv_every/lib/python3.12/site-packages/starlette/_exception_handler.py", line 53, in wrapped_app
    await app(scope, receive, sender)
  File "/home/openspace/miniconda3/envs/venv_every/lib/python3.12/site-packages/starlette/routing.py", line 762, in __call__
    await self.middleware_stack(scope, receive, send)
  File "/home/openspace/miniconda3/envs/venv_every/lib/python3.12/site-packages/starlette/routing.py", line 782, in app
    await route.handle(scope, receive, send)
  File "/home/openspace/miniconda3/envs/venv_every/lib/python3.12/site-packages/starlette/routing.py", line 297, in handle
    await self.app(scope, receive, send)
  File "/home/openspace/miniconda3/envs/venv_every/lib/python3.12/site-packages/starlette/routing.py", line 77, in app
    await wrap_app_handling_exceptions(app, request)(scope, receive, send)
  File "/home/openspace/miniconda3/envs/venv_every/lib/python3.12/site-packages/starlette/_exception_handler.py", line 64, in wrapped_app
    raise exc
  File "/home/openspace/miniconda3/envs/venv_every/lib/python3.12/site-packages/starlette/_exception_handler.py", line 53, in wrapped_app
    await app(scope, receive, sender)
  File "/home/openspace/miniconda3/envs/venv_every/lib/python3.12/site-packages/starlette/routing.py", line 72, in app
    response = await func(request)
               ^^^^^^^^^^^^^^^^^^^
  File "/home/openspace/miniconda3/envs/venv_every/lib/python3.12/site-packages/fastapi/routing.py", line 299, in app
    raise e
  File "/home/openspace/miniconda3/envs/venv_every/lib/python3.12/site-packages/fastapi/routing.py", line 294, in app
    raw_response = await run_endpoint_function(
                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/openspace/miniconda3/envs/venv_every/lib/python3.12/site-packages/fastapi/routing.py", line 191, in run_endpoint_function
    return await dependant.call(**values)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/openspace/test/backend/app/api/auth.py", line 38, in register
    user = await auth_service.register(user_data)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/openspace/test/backend/app/services/auth_service.py", line 55, in register
    password_hash=get_password_hash(user_data.password),
                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/openspace/test/backend/app/core/security.py", line 45, in get_password_hash
    return pwd_context.hash(password)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/openspace/miniconda3/envs/venv_every/lib/python3.12/site-packages/passlib/context.py", line 2258, in hash
    return record.hash(secret, **kwds)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/openspace/miniconda3/envs/venv_every/lib/python3.12/site-packages/passlib/utils/handlers.py", line 779, in hash
    self.checksum = self._calc_checksum(secret)
                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/openspace/miniconda3/envs/venv_every/lib/python3.12/site-packages/passlib/handlers/bcrypt.py", line 591, in _calc_checksum
    self._stub_requires_backend()
  File "/home/openspace/miniconda3/envs/venv_every/lib/python3.12/site-packages/passlib/utils/handlers.py", line 2254, in _stub_requires_backend
    cls.set_backend()
  File "/home/openspace/miniconda3/envs/venv_every/lib/python3.12/site-packages/passlib/utils/handlers.py", line 2156, in set_backend
    return owner.set_backend(name, dryrun=dryrun)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/openspace/miniconda3/envs/venv_every/lib/python3.12/site-packages/passlib/utils/handlers.py", line 2163, in set_backend
    return cls.set_backend(name, dryrun=dryrun)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/openspace/miniconda3/envs/venv_every/lib/python3.12/site-packages/passlib/utils/handlers.py", line 2188, in set_backend
    cls._set_backend(name, dryrun)
  File "/home/openspace/miniconda3/envs/venv_every/lib/python3.12/site-packages/passlib/utils/handlers.py", line 2311, in _set_backend
    super(SubclassBackendMixin, cls)._set_backend(name, dryrun)
  File "/home/openspace/miniconda3/envs/venv_every/lib/python3.12/site-packages/passlib/utils/handlers.py", line 2224, in _set_backend
    ok = loader(**kwds)
         ^^^^^^^^^^^^^^
  File "/home/openspace/miniconda3/envs/venv_every/lib/python3.12/site-packages/passlib/handlers/bcrypt.py", line 626, in _load_backend_mixin
    return mixin_cls._finalize_backend_mixin(name, dryrun)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/openspace/miniconda3/envs/venv_every/lib/python3.12/site-packages/passlib/handlers/bcrypt.py", line 421, in _finalize_backend_mixin
    if detect_wrap_bug(IDENT_2A):
       ^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/openspace/miniconda3/envs/venv_every/lib/python3.12/site-packages/passlib/handlers/bcrypt.py", line 380, in detect_wrap_bug
    if verify(secret, bug_hash):
       ^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/openspace/miniconda3/envs/venv_every/lib/python3.12/site-packages/passlib/utils/handlers.py", line 792, in verify
    return consteq(self._calc_checksum(secret), chk)
                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/openspace/miniconda3/envs/venv_every/lib/python3.12/site-packages/passlib/handlers/bcrypt.py", line 655, in _calc_checksum
    hash = _bcrypt.hashpw(secret, config)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
ValueError: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])
2025-12-19 17:53:02 | INFO     | app | 👋 Shutting down...
2025-12-19 17:53:02 | INFO     | app | ✅ Cleanup complete
2025-12-19 17:53:04 | INFO     | app | 🚀 Starting Messaging Platform...
2025-12-19 17:53:04 | INFO     | app | ✅ Redis connected
2025-12-19 17:53:04 | INFO     | sqlalchemy.engine.Engine | SELECT DATABASE()
2025-12-19 17:53:04 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:53:04 | INFO     | sqlalchemy.engine.Engine | SELECT @@sql_mode
2025-12-19 17:53:04 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:53:04 | INFO     | sqlalchemy.engine.Engine | SELECT @@lower_case_table_names
2025-12-19 17:53:04 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:53:04 | INFO     | sqlalchemy.engine.Engine | BEGIN (implicit)
2025-12-19 17:53:04 | INFO     | sqlalchemy.engine.Engine | DESCRIBE `chatapp`.`users`
2025-12-19 17:53:04 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:53:04 | INFO     | sqlalchemy.engine.Engine | DESCRIBE `chatapp`.`conversations`
2025-12-19 17:53:04 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:53:04 | INFO     | sqlalchemy.engine.Engine | DESCRIBE `chatapp`.`conversation_members`
2025-12-19 17:53:04 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:53:04 | INFO     | sqlalchemy.engine.Engine | DESCRIBE `chatapp`.`messages`
2025-12-19 17:53:04 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:53:04 | INFO     | sqlalchemy.engine.Engine | DESCRIBE `chatapp`.`contacts`
2025-12-19 17:53:04 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2025-12-19 17:53:04 | INFO     | sqlalchemy.engine.Engine | COMMIT
2025-12-19 17:53:04 | INFO     | app | ✅ Database initialized
2025-12-19 17:53:04 | INFO     | app | [Socket] Event handlers registered
2025-12-19 17:53:04 | INFO     | app | ✅ Socket.IO events registered
2025-12-19 17:53:04 | INFO     | app | 🎉 Server is ready!
2025-12-19 17:53:04 | INFO     | app |    API Docs: http://localhost:8000/docs
2025-12-19 17:53:04 | INFO     | app |    Socket.IO: ws://localhost:8000/socket.io/
2025-12-19 17:53:58 | INFO     | sqlalchemy.engine.Engine | BEGIN (implicit)
2025-12-19 17:53:58 | INFO     | sqlalchemy.engine.Engine | SELECT users.id, users.email, users.username, users.password_hash, users.public_key, users.avatar_url, users.is_active, users.created_at, users.last_seen 
FROM users 
WHERE users.email = %s
2025-12-19 17:53:58 | INFO     | sqlalchemy.engine.Engine | [generated in 0.00104s] ('brijesh@oss.com',)
2025-12-19 17:53:58 | INFO     | sqlalchemy.engine.Engine | SELECT users.id, users.email, users.username, users.password_hash, users.public_key, users.avatar_url, users.is_active, users.created_at, users.last_seen 
FROM users 
WHERE users.username = %s
2025-12-19 17:53:58 | INFO     | sqlalchemy.engine.Engine | [generated in 0.00115s] ('brijesh',)
2025-12-19 17:53:59 | INFO     | sqlalchemy.engine.Engine | INSERT INTO users (id, email, username, password_hash, public_key, avatar_url, is_active, created_at, last_seen) VALUES (%s, %s, %s, %s, %s, %s, %s, %s, %s)
2025-12-19 17:53:59 | INFO     | sqlalchemy.engine.Engine | [generated in 0.00049s] ('ec0cbce5-792d-4dea-be18-5096566f71f9', 'brijesh@oss.com', 'brijesh', '$2b$12$8CgB2xGDGk4p0NN/WcVjT.82H76EBcuEQfKVptVqjxG/DC1ABqBuq', None, None, 1, datetime.datetime(2025, 12, 19, 12, 23, 59, 188920, tzinfo=datetime.timezone.utc), None)
2025-12-19 17:53:59 | INFO     | sqlalchemy.engine.Engine | SELECT users.id, users.email, users.username, users.password_hash, users.public_key, users.avatar_url, users.is_active, users.created_at, users.last_seen 
FROM users 
WHERE users.id = %s
2025-12-19 17:53:59 | INFO     | sqlalchemy.engine.Engine | [generated in 0.00033s] ('ec0cbce5-792d-4dea-be18-5096566f71f9',)
2025-12-19 17:53:59 | INFO     | sqlalchemy.engine.Engine | SELECT messages.id AS messages_id, messages.conversation_id AS messages_conversation_id, messages.sender_id AS messages_sender_id, messages.encrypted_content AS messages_encrypted_content, messages.nonce AS messages_nonce, messages.content_type AS messages_content_type, messages.is_delivered AS messages_is_delivered, messages.is_read AS messages_is_read, messages.created_at AS messages_created_at 
FROM messages 
WHERE %s = messages.sender_id
2025-12-19 17:53:59 | INFO     | sqlalchemy.engine.Engine | [generated in 0.00057s] ('ec0cbce5-792d-4dea-be18-5096566f71f9',)
2025-12-19 17:53:59 | INFO     | sqlalchemy.engine.Engine | SELECT contacts.id AS contacts_id, contacts.user_id AS contacts_user_id, contacts.contact_id AS contacts_contact_id, contacts.status AS contacts_status, contacts.nickname AS contacts_nickname, contacts.created_at AS contacts_created_at 
FROM contacts 
WHERE %s = contacts.user_id
2025-12-19 17:53:59 | INFO     | sqlalchemy.engine.Engine | [generated in 0.00025s] ('ec0cbce5-792d-4dea-be18-5096566f71f9',)
2025-12-19 17:53:59 | INFO     | sqlalchemy.engine.Engine | SELECT conversation_members.id AS conversation_members_id, conversation_members.conversation_id AS conversation_members_conversation_id, conversation_members.user_id AS conversation_members_user_id, conversation_members.joined_at AS conversation_members_joined_at, conversation_members.last_read_at AS conversation_members_last_read_at 
FROM conversation_members 
WHERE %s = conversation_members.user_id
2025-12-19 17:53:59 | INFO     | sqlalchemy.engine.Engine | [generated in 0.00030s] ('ec0cbce5-792d-4dea-be18-5096566f71f9',)
2025-12-19 17:53:59 | INFO     | sqlalchemy.engine.Engine | COMMIT
2025-12-19 17:53:59 | INFO     | sqlalchemy.engine.Engine | BEGIN (implicit)
2025-12-19 17:53:59 | INFO     | sqlalchemy.engine.Engine | SELECT users.id, users.email, users.username, users.password_hash, users.public_key, users.avatar_url, users.is_active, users.created_at, users.last_seen 
FROM users 
WHERE users.email = %s
2025-12-19 17:53:59 | INFO     | sqlalchemy.engine.Engine | [cached since 0.5372s ago] ('brijesh@oss.com',)
2025-12-19 17:53:59 | INFO     | sqlalchemy.engine.Engine | SELECT messages.sender_id AS messages_sender_id, messages.id AS messages_id, messages.conversation_id AS messages_conversation_id, messages.encrypted_content AS messages_encrypted_content, messages.nonce AS messages_nonce, messages.content_type AS messages_content_type, messages.is_delivered AS messages_is_delivered, messages.is_read AS messages_is_read, messages.created_at AS messages_created_at 
FROM messages 
WHERE messages.sender_id IN (%s)
2025-12-19 17:53:59 | INFO     | sqlalchemy.engine.Engine | [generated in 0.00049s] ('ec0cbce5-792d-4dea-be18-5096566f71f9',)
2025-12-19 17:53:59 | INFO     | sqlalchemy.engine.Engine | SELECT contacts.user_id AS contacts_user_id, contacts.id AS contacts_id, contacts.contact_id AS contacts_contact_id, contacts.status AS contacts_status, contacts.nickname AS contacts_nickname, contacts.created_at AS contacts_created_at 
FROM contacts 
WHERE contacts.user_id IN (%s)
2025-12-19 17:53:59 | INFO     | sqlalchemy.engine.Engine | [generated in 0.00074s] ('ec0cbce5-792d-4dea-be18-5096566f71f9',)
2025-12-19 17:53:59 | INFO     | sqlalchemy.engine.Engine | SELECT conversation_members.user_id AS conversation_members_user_id, conversation_members.id AS conversation_members_id, conversation_members.conversation_id AS conversation_members_conversation_id, conversation_members.joined_at AS conversation_members_joined_at, conversation_members.last_read_at AS conversation_members_last_read_at 
FROM conversation_members 
WHERE conversation_members.user_id IN (%s)
2025-12-19 17:53:59 | INFO     | sqlalchemy.engine.Engine | [generated in 0.00058s] ('ec0cbce5-792d-4dea-be18-5096566f71f9',)
